city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,zips
South Hero,South Hero,VT,Vermont,50013,Grand Isle,44.6479,-73.3017,05486
Jefferson,Jefferson,NY,New York,36095,Schoharie,42.4813,-74.6062,12093
Geneva,Geneva,GA,Georgia,13263,Talbot,32.579,-84.5516,31810
Garden City,Garden City,CO,Colorado,8123,Weld,40.3948,-104.6893,80631
Verdi,Verdi,CA,California,6091,Sierra,39.5238,-120.0165,89439
Talladega Springs,Talladega Springs,AL,Alabama,1121,Talladega,33.1191,-86.4421,35151
Coyanosa,Coyanosa,TX,Texas,48371,Pecos,31.2409,-103.0648,79730
Amsterdam,Amsterdam,MT,Montana,30031,Gallatin,45.7462,-111.3301,59741
Fostoria,Fostoria,IA,Iowa,19041,Clay,43.243,-95.1549,51340 51301
St. Leo,St. Leo,MN,Minnesota,27173,Yellow Medicine,44.7173,-96.0526,56264
Lawrence,Lawrence,IL,Illinois,17111,McHenry,42.4434,-88.6417,60033
Glen Wilton,Glen Wilton,VA,Virginia,51023,Botetourt,37.7555,-79.8213,24085 24438
Ensign,Ensign,KS,Kansas,20069,Gray,37.6531,-100.2329,67841
Idaville,Idaville,PA,Pennsylvania,42001,Adams,40.0199,-77.2034,17324 17337
Monterey,Monterey,VA,Virginia,51091,Highland,38.4116,-79.5809,24465
Spurgeon,Spurgeon,IN,Indiana,18125,Pike,38.2552,-87.2588,47584 47660
Los Berros,Los Berros,CA,California,6079,San Luis Obispo,35.0809,-120.545,93420
Corning,Corning,KS,Kansas,20131,Nemaha,39.657,-96.0288,66417
Lazear,Lazear,CO,Colorado,8029,Delta,38.7788,-107.7805,81419 81420
Palisade,Palisade,MN,Minnesota,27001,Aitkin,46.7125,-93.4894,56469
Loma Grande,Loma Grande,TX,Texas,48507,Zavala,28.7221,-99.8327,78839
Bay Center,Bay Center,WA,Washington,53049,Pacific,46.6213,-123.9533,98527
Rhame,Rhame,ND,North Dakota,38011,Bowman,46.2347,-103.655,58651
Westford,Westford,VT,Vermont,50007,Chittenden,44.6079,-73.0113,05494
Red Hill,Red Hill,PA,Pennsylvania,42013,Blair,40.5296,-78.4356,16601
Whiting,Whiting,MO,Missouri,29133,Mississippi,36.7921,-89.3716,63845
Kramer,Kramer,IN,Indiana,18171,Warren,40.3391,-87.2849,47918
St. Martin,St. Martin,OH,Ohio,39015,Brown,39.2117,-83.8844,45142 45118
